--------------------------------------------,,,,,,,,,
Linear Kernel - samples combined,,,,,,,,,
--------------------------------------------,,,,,,,,,
C,in,out,in,out,in,out,avg-in,avg-out,
3**-10.0,3**6.0,10.29%,8.79%,10.45%,8.20%,10.31%,8.73%,10.35%,8.57%
3**-10.0,3**7.0,10.20%,9.20%,10.26%,8.93%,20.59%,8.79%,13.68%,8.97%
3**-7.0,3**-10.0,10.27%,8.94%,10.31%,8.73%,10.33%,8.66%,10.30%,8.78%
3**-7.0,3**-5.0,10.29%,8.79%,10.28%,8.86%,10.31%,8.73%,10.29%,8.79%
3**-7.0,3**-1.0,10.25%,9.00%,10.26%,8.93%,10.21%,9.13%,10.24%,9.02%
3**-7.0,3**0.0,10.29%,8.79%,10.26%,8.93%,10.29%,8.79%,10.28%,8.84%
3**-7.0,3**1.0,10.29%,8.79%,10.20%,9.20%,10.28%,8.86%,10.26%,8.95%
3**-7.0,3**3.0,10.44%,8.26%,10.20%,9.20%,10.36%,8.53%,10.33%,8.66%
3**-7.0,3**4.0,30.50%,9.40%,10.26%,8.93%,10.23%,9.06%,17.00%,9.13%
3**-7.0,3**5.0,10.20%,9.20%,10.33%,8.66%,10.31%,8.73%,10.28%,8.86%
3**-7.0,3**6.0,10.23%,9.06%,10.28%,8.86%,10.40%,8.40%,10.30%,8.77%
3**-7.0,3**7.0,20.50%,9.00%,10.43%,8.26%,10.11%,9.53%,13.68%,8.93%
3**-5.0,3**-10.0,10.40%,8.40%,18.53%,15.86%,10.13%,9.46%,13.02%,11.24%
3**-5.0,3**-5.0,18.73%,16.74%,23.98%,21.53%,17.28%,14.86%,20.00%,17.71%
3**-5.0,3**-1.0,10.29%,8.79%,10.15%,9.40%,10.23%,9.06%,10.22%,9.08%
3**-5.0,3**0.0,10.23%,9.06%,10.21%,9.13%,10.21%,9.13%,10.22%,9.11%
3**-5.0,3**1.0,10.36%,8.73%,10.28%,8.86%,10.21%,9.13%,10.28%,8.91%
3**-5.0,3**3.0,10.27%,9.13%,20.33%,17.00%,10.31%,8.73%,13.64%,11.62%
3**-5.0,3**4.0,10.40%,8.40%,10.25%,9.00%,10.43%,8.26%,10.36%,8.55%
3**-5.0,3**5.0,10.44%,8.06%,10.26%,8.93%,10.38%,8.46%,10.36%,8.48%
3**-5.0,3**6.0,10.36%,8.73%,10.29%,8.79%,10.23%,9.06%,10.29%,8.86%
3**-5.0,3**7.0,10.36%,8.73%,10.23%,9.06%,10.23%,9.06%,10.27%,8.95%
3**-3.0,3**-10.0,10.23%,9.06%,10.40%,8.40%,10.26%,8.93%,10.30%,8.80%
3**-3.0,3**-5.0,86.70%,85.39%,86.61%,86.53%,86.75%,85.66%,86.69%,85.86%
3**-3.0,3**-1.0,10.20%,9.20%,10.26%,8.93%,10.36%,8.53%,10.27%,8.89%
3**-3.0,3**0.0,10.23%,8.87%,10.20%,9.20%,10.16%,9.33%,10.20%,9.13%
3**-3.0,3**1.0,10.35%,8.60%,10.33%,8.66%,10.31%,8.73%,10.33%,8.66%
3**-3.0,3**3.0,10.40%,8.40%,10.16%,9.33%,10.20%,9.20%,10.25%,8.98%
3**-3.0,3**4.0,10.37%,8.53%,10.20%,9.20%,10.25%,9.00%,10.27%,8.91%
3**-3.0,3**5.0,10.37%,8.53%,20.23%,9.53%,10.18%,9.26%,13.59%,9.11%
3**-3.0,3**6.0,10.14%,9.26%,10.18%,9.26%,10.20%,9.20%,10.17%,9.24%
3**-3.0,3**7.0,10.20%,9.20%,10.23%,9.06%,10.33%,8.66%,10.25%,8.97%
3**-1.0,3**-10.0,22.86%,20.40%,10.26%,9.00%,13.23%,11.40%,15.45%,13.60%
3**-1.0,3**-5.0,92.83%,92.33%,93.11%,91.53%,93.11%,91.93%,93.02%,91.93%
3**-1.0,3**-1.0,13.65%,11.32%,13.86%,11.00%,13.58%,11.93%,13.70%,11.42%
3**-1.0,3**0.0,10.27%,9.26%,20.33%,9.33%,10.51%,8.06%,13.70%,8.88%
3**-1.0,3**1.0,10.14%,9.26%,10.25%,9.00%,10.29%,8.79%,10.23%,9.02%
3**-1.0,3**3.0,10.35%,8.60%,10.41%,8.33%,10.43%,8.26%,10.40%,8.40%
3**-1.0,3**4.0,10.47%,8.13%,10.28%,8.86%,10.43%,8.26%,10.39%,8.42%
3**-1.0,3**5.0,10.20%,9.20%,10.28%,8.86%,10.21%,9.13%,10.23%,9.06%
3**-1.0,3**6.0,10.29%,8.79%,10.23%,9.06%,10.23%,9.06%,10.25%,8.97%
3**-1.0,3**7.0,10.23%,9.06%,10.28%,8.86%,10.21%,9.13%,10.24%,9.02%
3**0.0,3**-10.0,49.10%,46.53%,51.63%,52.20%,54.73%,55.20%,51.82%,51.31%
3**0.0,3**-5.0,95.50%,94.67%,95.56%,94.19%,96.01%,93.33%,95.69%,94.06%
3**0.0,3**-1.0,100.00%,19.32%,100.00%,28.99%,100.00%,22.40%,100.00%,23.57%
3**0.0,3**0.0,100.00%,12.06%,100.00%,11.26%,100.00%,9.73%,100.00%,11.02%
3**0.0,3**1.0,100.00%,8.53%,100.00%,9.33%,100.00%,9.20%,100.00%,9.02%
3**0.0,3**3.0,100.00%,9.06%,100.00%,9.13%,100.00%,8.46%,100.00%,8.88%
3**0.0,3**4.0,100.00%,9.06%,100.00%,8.86%,100.00%,8.86%,100.00%,8.93%
3**0.0,3**5.0,100.00%,8.73%,100.00%,8.73%,100.00%,9.13%,100.00%,8.86%
3**0.0,3**6.0,100.00%,8.94%,100.00%,8.73%,100.00%,9.40%,100.00%,9.02%
3**0.0,3**7.0,100.00%,9.00%,100.00%,7.80%,100.00%,9.06%,100.00%,8.62%
3**1.0,3**-10.0,83.03%,81.00%,82.31%,81.93%,82.33%,83.46%,82.56%,82.13%
3**1.0,3**-5.0,98.06%,94.73%,98.30%,95.13%,98.20%,94.53%,98.19%,94.80%
3**1.0,3**-1.0,100.00%,21.68%,100.00%,21.93%,100.00%,22.86%,100.00%,22.16%
3**1.0,3**0.0,100.00%,10.13%,100.00%,10.86%,100.00%,10.80%,100.00%,10.60%
3**1.0,3**1.0,100.00%,8.40%,100.00%,9.00%,100.00%,9.40%,100.00%,8.93%
3**1.0,3**3.0,100.00%,8.68%,100.00%,8.86%,100.00%,8.66%,100.00%,8.73%
3**1.0,3**4.0,100.00%,8.47%,100.00%,9.20%,100.00%,9.13%,100.00%,8.93%
3**1.0,3**5.0,100.00%,8.53%,100.00%,9.26%,100.00%,8.93%,100.00%,8.91%
3**1.0,3**6.0,100.00%,9.20%,100.00%,8.73%,100.00%,9.13%,100.00%,9.02%
3**1.0,3**7.0,100.00%,9.13%,100.00%,9.00%,100.00%,8.93%,100.00%,9.02%
3**2.0,3**-10.0,87.20%,86.60%,87.08%,87.13%,87.03%,86.46%,87.10%,86.73%
3**2.0,3**-5.0,99.65%,94.86%,99.60%,95.19%,99.65%,95.80%,99.63%,95.28%
3**2.0,3**-1.0,100.00%,21.20%,100.00%,21.86%,100.00%,19.73%,100.00%,20.93%
3**2.0,3**0.0,100.00%,11.53%,100.00%,11.20%,100.00%,11.33%,100.00%,11.35%
3**2.0,3**1.0,100.00%,9.87%,100.00%,8.66%,100.00%,9.46%,100.00%,9.33%
3**2.0,3**3.0,100.00%,8.06%,100.00%,9.60%,100.00%,9.20%,100.00%,8.95%
3**2.0,3**4.0,100.00%,9.20%,100.00%,9.20%,100.00%,9.00%,100.00%,9.13%
3**2.0,3**5.0,100.00%,9.00%,100.00%,8.53%,100.00%,8.46%,100.00%,8.66%
3**2.0,3**6.0,100.00%,8.40%,100.00%,9.13%,100.00%,8.86%,100.00%,8.80%
3**2.0,3**7.0,100.00%,8.94%,100.00%,8.79%,100.00%,9.20%,100.00%,8.98%
3**3.0,3**-10.0,90.06%,87.53%,89.85%,88.73%,89.70%,89.53%,89.87%,88.60%
3**3.0,3**-5.0,99.97%,96.20%,99.98%,94.80%,99.98%,95.80%,99.98%,95.60%
3**3.0,3**-1.0,100.00%,22.64%,100.00%,26.00%,100.00%,23.06%,100.00%,23.90%
3**3.0,3**0.0,100.00%,9.94%,100.00%,10.93%,100.00%,11.73%,100.00%,10.87%
3**3.0,3**1.0,100.00%,9.34%,100.00%,8.33%,100.00%,8.93%,100.00%,8.87%
3**3.0,3**3.0,100.00%,8.87%,100.00%,8.93%,100.00%,9.13%,100.00%,8.98%
3**3.0,3**4.0,100.00%,9.06%,100.00%,8.79%,100.00%,9.33%,100.00%,9.06%
3**3.0,3**5.0,100.00%,9.20%,100.00%,8.46%,100.00%,9.53%,100.00%,9.06%
3**3.0,3**6.0,100.00%,8.60%,100.00%,8.46%,100.00%,9.33%,100.00%,8.80%
3**3.0,3**7.0,100.00%,8.40%,100.00%,9.33%,100.00%,9.33%,100.00%,9.02%
3**4.0,3**-10.0,92.15%,90.13%,91.93%,91.40%,92.01%,90.53%,92.03%,90.69%
3**4.0,3**-5.0,100.00%,95.14%,100.00%,95.39%,100.00%,96.13%,100.00%,95.55%
3**4.0,3**-1.0,100.00%,23.68%,100.00%,24.66%,100.00%,24.60%,100.00%,24.31%
3**4.0,3**0.0,100.00%,11.47%,100.00%,10.20%,100.00%,11.20%,100.00%,10.96%
3**4.0,3**1.0,100.00%,8.53%,100.00%,9.06%,100.00%,9.20%,100.00%,8.93%
3**4.0,3**3.0,100.00%,8.94%,100.00%,9.06%,100.00%,8.53%,100.00%,8.84%
3**4.0,3**4.0,100.00%,8.68%,100.00%,9.33%,100.00%,8.93%,100.00%,8.98%
3**4.0,3**5.0,100.00%,10.47%,100.00%,8.53%,100.00%,9.06%,100.00%,9.35%
3**4.0,3**6.0,100.00%,8.94%,100.00%,9.00%,100.00%,9.13%,100.00%,9.02%
3**4.0,3**7.0,100.00%,9.26%,100.00%,9.13%,100.00%,8.73%,100.00%,9.04%
3**5.0,3**-10.0,93.77%,91.27%,93.25%,92.66%,93.91%,90.86%,93.64%,91.60%
3**5.0,3**-5.0,100.00%,94.14%,100.00%,95.46%,100.00%,95.13%,100.00%,94.91%
3**5.0,3**-1.0,100.00%,17.40%,100.00%,24.26%,100.00%,24.20%,100.00%,21.95%
3**5.0,3**0.0,100.00%,10.34%,100.00%,10.86%,100.00%,10.60%,100.00%,10.60%
3**5.0,3**1.0,100.00%,8.53%,100.00%,8.79%,100.00%,8.66%,100.00%,8.66%
3**5.0,3**3.0,100.00%,9.13%,100.00%,8.73%,100.00%,8.86%,100.00%,8.91%
3**5.0,3**4.0,100.00%,9.40%,100.00%,8.86%,100.00%,8.40%,100.00%,8.89%
3**5.0,3**5.0,100.00%,8.68%,100.00%,8.53%,100.00%,9.00%,100.00%,8.74%
3**5.0,3**6.0,100.00%,8.60%,100.00%,8.93%,100.00%,9.13%,100.00%,8.89%
3**5.0,3**7.0,100.00%,8.60%,100.00%,9.60%,100.00%,9.00%,100.00%,9.07%
3**6.0,3**-10.0,95.45%,92.86%,95.70%,91.73%,95.46%,92.46%,95.54%,92.35%
3**6.0,3**-5.0,100.00%,96.20%,100.00%,96.26%,100.00%,94.86%,100.00%,95.77%
3**6.0,3**-1.0,100.00%,21.80%,100.00%,19.60%,100.00%,24.46%,100.00%,21.95%
3**6.0,3**0.0,100.00%,12.20%,100.00%,10.80%,100.00%,12.33%,100.00%,11.78%
3**6.0,3**1.0,100.00%,8.79%,100.00%,9.46%,100.00%,8.79%,100.00%,9.01%
3**6.0,3**3.0,100.00%,8.40%,100.00%,12.80%,100.00%,9.26%,100.00%,10.15%
3**6.0,3**4.0,100.00%,8.53%,100.00%,9.06%,100.00%,9.00%,100.00%,8.86%
3**6.0,3**5.0,100.00%,8.60%,100.00%,8.60%,100.00%,8.86%,100.00%,8.69%
3**6.0,3**6.0,100.00%,8.87%,100.00%,8.53%,100.00%,8.40%,100.00%,8.60%
3**6.0,3**7.0,100.00%,9.34%,100.00%,9.06%,100.00%,9.06%,100.00%,9.15%
3**7.0,3**-10.0,97.65%,92.40%,97.43%,91.53%,97.46%,91.86%,97.51%,91.93%
3**7.0,3**-5.0,100.00%,95.19%,100.00%,95.80%,100.00%,94.66%,100.00%,95.22%
3**7.0,3**-1.0,100.00%,18.73%,100.00%,20.86%,100.00%,20.33%,100.00%,19.97%
3**7.0,3**0.0,100.00%,11.61%,100.00%,11.53%,100.00%,11.60%,100.00%,11.58%
3**7.0,3**1.0,100.00%,9.13%,100.00%,9.20%,100.00%,9.33%,100.00%,9.22%
3**7.0,3**3.0,100.00%,14.39%,100.00%,8.46%,100.00%,8.79%,100.00%,10.55%
3**7.0,3**4.0,100.00%,8.87%,100.00%,8.60%,100.00%,9.06%,100.00%,8.84%
3**7.0,3**5.0,100.00%,8.21%,100.00%,9.33%,100.00%,8.86%,100.00%,8.80%
3**7.0,3**6.0,100.00%,8.79%,100.00%,9.46%,100.00%,8.26%,100.00%,8.84%
3**7.0,3**7.0,100.00%,8.60%,100.00%,8.79%,100.00%,9.26%,100.00%,8.88%
--------------------------------------------,,,,,,,,,
Neural Network - combined samples,,,,,,,,,
--------------------------------------------,,,,,,,,,
hidden,reg,in,out,in,out,avg-in,avg-out,,
10,3**-7,79.13%,78.87%,90.25%,87.07%,84.69%,82.97%,,
10,3**-5,69.97%,68.67%,78.47%,77.87%,74.22%,73.27%,,
10,3**-3,19.30%,16.80%,10.80%,9.33%,15.05%,13.07%,,
10,3**-1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
10,3**0,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
10,3**1,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
10,3**3,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
10,3**5,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
10,3**7,10.23%,8.87%,10.23%,8.87%,10.23%,8.87%,,
25,3**-15,78.11%,77.80%,24.60%,23.93%,51.36%,50.87%,,
25,3**-14,63.33%,65.66%,98.63%,85.53%,80.98%,75.60%,,
25,3**-13,90.65%,84.86%,98.36%,86.20%,94.51%,85.53%,,
25,3**-12,99.50%,87.86%,52.61%,55.46%,76.06%,71.66%,,
25,3**-11,70.03%,71.06%,59.60%,58.66%,64.82%,64.86%,,
25,3**-10,99.05%,88.73%,99.28%,90.46%,99.17%,89.60%,,
25,3**-9,76.53%,77.33%,40.58%,39.20%,58.56%,58.27%,,
25,3**-8,96.35%,89.86%,95.55%,91.53%,95.95%,90.70%,,
